MATCHUP,WL,MIN,FTM,FTA,FGM,FGA,PTS,REB,AST,PLUS_MINUS
MIL vs. ATL,L,30,9,14,11,18,31,9,5,-18
MIL vs. NYK,L,35,8,11,11,17,30,9,7,-6
MIL @ PHX,L,37,6,13,12,19,31,10,5,-4
MIL @ SAC,W,35,8,13,12,20,32,17,3,-6
MIL @ LAL,W,29,10,12,9,15,28,7,4,19
MIL @ GSW,L,39,10,15,5,16,20,9,7,-7
MIL vs. OKC,L,36,7,12,7,15,21,12,10,-13
MIL vs. IND,W,35,6,6,14,19,34,10,7,2
MIL vs. LAL,W,30,8,13,8,17,24,12,9,22
MIL @ IND,L,34,1,3,9,14,19,17,7,10
MIL vs. CLE,L,34,4,8,13,24,30,9,3,-13
MIL vs. ORL,L,35,7,11,15,23,37,11,4,2
MIL vs. DAL,W,25,6,6,13,20,32,15,4,30
MIL @ ATL,W,34,8,12,9,18,26,12,10,9
MIL @ DAL,W,32,11,13,9,14,29,9,9,22
MIL vs. DEN,W,33,5,8,11,23,28,19,7,8
MIL @ HOU,L,32,9,12,9,17,27,10,6,1
MIL vs. MIA,W,32,0,0,11,18,23,16,7,16
MIL @ WAS,W,19,6,11,6,9,18,6,3,1
MIL vs. LAC,W,24,3,5,10,14,23,8,4,-1
MIL vs. MEM,L,37,0,6,14,21,30,11,7,-3
MIL @ SAS,L,34,9,14,13,23,35,14,6,-13
MIL @ POR,L,36,5,10,17,24,39,12,5,-11
MIL @ UTA,W,37,3,10,16,23,35,18,7,19
MIL @ LAC,L,35,12,15,12,22,36,13,1,-10
MIL vs. MIA,W,32,5,10,10,18,25,12,4,19
MIL vs. PHI,W,36,8,14,13,17,34,15,6,25
MIL vs. TOR,W,35,11,18,12,20,35,13,3,14
MIL vs. ORL,W,30,4,8,11,15,26,11,4,25
MIL vs. SAC,W,37,5,7,14,23,33,11,13,30
MIL @ NYK,L,31,4,10,10,21,24,13,2,-20
MIL @ ORL,W,37,3,10,19,29,41,14,4,-3
MIL vs. SAS,W,36,3,7,11,21,25,16,8,13
MIL @ TOR,W,29,1,2,5,8,11,12,13,27
MIL vs. POR,L,38,3,4,14,27,31,11,2,-3
MIL vs. BKN,L,37,3,10,12,24,27,13,7,12
MIL @ IND,W,35,8,13,11,20,30,12,5,12
MIL @ CLE,L,30,6,10,13,22,33,14,3,-19
MIL vs. ATL,W,38,12,18,10,15,32,14,9,3
MIL vs. ORL,W,36,7,12,15,24,37,7,1,5
MIL @ BKN,W,38,6,10,14,22,34,11,4,10
MIL @ BOS,L,36,4,6,13,25,30,11,1,-4
MIL vs. ATL,L,36,15,26,8,14,31,11,5,-11
MIL @ DET,W,28,8,12,10,11,28,7,8,18
MIL vs. WAS,W,38,12,17,15,24,42,12,11,9
MIL vs. CHA,W,31,7,10,12,23,32,11,6,-2
MIL vs. IND,W,35,9,11,14,21,37,10,11,16
MIL vs. CHI,W,35,7,14,17,24,41,9,8,7
MIL vs. HOU,W,36,2,7,9,17,20,13,4,-2
MIL @ CHA,L,33,0,1,11,22,22,15,12,-2
MIL vs. DET,W,44,16,17,21,34,59,14,7,7
MIL vs. TOR,W,33,5,9,9,12,23,4,7,1
MIL vs. BOS,L,39,6,10,18,29,43,13,5,-6
MIL @ NYK,L,32,2,6,11,21,24,12,2,-17
MIL vs. UTA,W,30,9,12,11,21,31,16,2,27
MIL vs. CLE,L,39,4,7,15,27,34,16,9,5
MIL @ MEM,L,34,3,8,17,22,37,11,4,0
MIL @ BOS,L,39,2,6,14,26,30,10,6,-19
MIL @ BKN,L,33,8,11,7,11,22,12,7,-11
MIL vs. CHI,L,35,8,16,15,23,38,11,5,-12
MIL @ PHI,W,31,9,16,8,11,25,14,7,7
