MATCHUP,WL,MIN,FTM,FTA,FGM,FGA,PTS,REB,AST,PLUS_MINUS
OKC vs. IND,W,31,10,12,10,23,33,7,8,17
OKC vs. MEM,W,34,7,9,15,25,37,3,6,26
OKC @ SAC,W,33,9,10,10,23,32,8,5,13
OKC @ LAC,W,37,11,11,7,29,26,3,8,0
OKC vs. CHA,W,30,2,2,13,18,30,6,9,31
OKC @ MIL,W,34,9,11,11,27,31,2,8,8
OKC @ DET,W,38,10,10,17,26,48,4,6,18
OKC @ BOS,W,39,10,11,11,20,34,5,7,3
OKC vs. DEN,L,36,6,6,8,14,25,3,7,-18
OKC vs. DEN,W,35,8,8,15,32,40,8,5,11
OKC @ MEM,W,35,10,10,14,25,41,2,8,19
OKC vs. HOU,W,36,10,10,18,30,51,5,7,6
OKC @ SAS,W,32,8,9,10,19,31,4,8,15
OKC @ ATL,W,34,4,4,12,23,31,3,5,23
OKC @ BKN,W,34,12,13,7,11,27,6,5,-15
OKC vs. MIN,L,42,14,17,11,20,39,10,8,2
OKC @ MIN,W,38,8,11,13,24,37,8,8,16
OKC @ UTA,W,32,6,6,7,16,21,2,8,11
OKC @ MIN,L,34,11,11,6,21,24,8,9,-12
OKC vs. MIA,W,38,6,9,11,22,32,5,9,19
OKC vs. NOP,W,31,7,8,10,20,31,1,2,12
OKC @ MEM,W,34,13,16,8,26,32,0,8,18
OKC vs. TOR,W,29,14,14,5,12,25,4,6,15
OKC vs. PHX,W,34,11,12,18,29,50,8,5,42
OKC vs. MIL,W,22,2,3,15,19,34,3,6,34
OKC vs. SAC,W,30,8,10,10,20,29,6,9,17
OKC @ GSW,L,39,18,21,16,29,52,3,4,1
OKC @ POR,W,37,9,9,12,25,35,5,1,-4
OKC vs. DAL,L,40,6,6,12,25,31,1,7,-7
OKC vs. UTA,W,37,17,18,17,35,54,8,5,9
OKC vs. BKN,W,29,10,10,8,14,27,3,10,27
OKC vs. CLE,W,29,5,5,17,26,40,3,8,32
OKC @ PHI,W,33,7,8,12,15,32,3,9,15
OKC @ WAS,W,30,16,17,5,17,27,7,4,30
OKC @ NYK,W,29,8,8,15,21,39,3,2,18
OKC @ CLE,L,38,4,4,13,27,31,5,4,-1
OKC vs. BOS,W,39,8,8,11,23,33,11,6,12
OKC vs. NYK,W,37,7,7,12,26,33,4,7,10
OKC vs. LAC,W,30,9,9,9,17,29,3,8,19
OKC vs. MIN,W,34,7,9,15,23,40,3,2,11
OKC vs. MEM,W,28,6,6,14,19,35,6,7,27
OKC @ CHA,W,33,5,6,8,15,22,4,6,12
OKC @ IND,W,38,11,11,15,22,45,7,8,10
OKC vs. WAS,W,35,10,10,14,25,41,9,3,25
OKC @ MIA,W,38,2,2,10,25,25,7,4,14
OKC @ ORL,W,36,4,4,15,26,35,4,6,-6
OKC vs. HOU,W,38,14,15,8,21,32,8,6,16
OKC vs. DAL,W,38,4,4,15,23,39,8,5,22
OKC @ NOP,W,34,10,12,10,18,31,2,4,-2
OKC @ TOR,W,30,7,8,11,22,30,4,5,28
OKC vs. UTA,W,30,2,2,11,19,26,6,7,20
OKC @ HOU,L,36,9,11,10,19,32,8,5,6
OKC @ LAL,W,37,7,8,13,28,36,6,9,13
OKC @ GSW,W,39,6,10,13,28,35,9,5,5
OKC @ SAC,W,35,7,11,13,20,37,4,11,15
OKC vs. POR,W,39,14,14,7,19,28,5,4,7
OKC @ SAS,L,37,5,6,11,20,32,3,8,2
OKC vs. DAL,L,38,9,11,13,19,36,2,8,8
OKC vs. PHX,W,33,4,4,11,25,28,6,4,21
OKC vs. NOP,W,33,2,3,12,25,29,5,5,18
OKC vs. LAC,W,39,15,16,13,21,45,3,9,8
OKC vs. GSW,L,34,12,14,6,17,24,5,4,-11
OKC vs. HOU,W,29,6,7,11,16,29,5,4,5
OKC @ DEN,L,39,8,10,10,19,28,2,6,3
OKC vs. ORL,W,35,4,4,8,16,21,6,9,18
OKC @ LAC,W,31,9,9,7,14,25,3,9,8
OKC @ POR,W,28,5,6,12,18,30,7,6,25
OKC vs. SAS,W,28,2,2,7,20,18,4,5,3
OKC vs. ATL,W,36,10,11,11,24,35,11,9,24
OKC @ CHI,W,29,3,3,9,21,23,8,2,23
OKC @ DEN,W,36,4,5,11,24,28,7,8,8
